sweep,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.108223,0.003027,0.005661,0.116911,32,32768,19740,516,0.992248
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.117487,0.003056,0.005606,0.126148,32,32768,23135,516,0.992248
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.105894,0.002800,0.005314,0.114008,32,32768,7977,517,0.990329
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.393945,0.008941,0.012317,0.415203,32,65536,25660,1028,0.996109
delta,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.385221,0.009098,0.012648,0.406967,32,65536,13139,1028,0.996109
delta,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.388779,0.008692,0.012569,0.410040,32,65536,27042,1029,0.995141
delta,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.807732,0.026345,0.027774,1.861852,32,131072,4370,2052,0.998051
delta,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.792612,0.024863,0.027041,1.844516,32,131072,35754,2052,0.998051
delta,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.785610,0.025020,0.027358,1.837987,32,131072,124747,2053,0.997565
delta,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.819201,0.082474,0.070884,10.972559,32,262144,186367,4100,0.999024
delta,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.775392,0.084654,0.071140,10.931186,32,262144,41675,4100,0.999024
delta,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.861535,0.095878,0.077433,11.034847,32,262144,179685,4101,0.998781
delta,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014576,0.000482,0.001146,0.016204,64,8192,811,134,0.955224
delta,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.014580,0.000549,0.001147,0.016276,64,8192,5495,133,0.962406
delta,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.014613,0.000434,0.001463,0.016510,64,8192,6028,134,0.955224
delta,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.046191,0.001083,0.002554,0.049828,64,16384,15894,262,0.977099
delta,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.039938,0.001146,0.002379,0.043463,64,16384,7990,261,0.980843
delta,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.039442,0.001050,0.002427,0.042919,64,16384,10484,262,0.977099
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.106043,0.002979,0.005225,0.114246,64,32768,19740,518,0.988417
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.112395,0.003537,0.005599,0.121531,64,32768,23135,517,0.990329
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.139568,0.003641,0.006235,0.149444,64,32768,7977,518,0.988417
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.465490,0.010136,0.015390,0.491016,64,65536,25660,1030,0.994175
delta,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.443237,0.010159,0.014414,0.467809,64,65536,13139,1029,0.995141
delta,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.447718,0.010558,0.015083,0.473359,64,65536,27042,1030,0.994175
delta,mh-classic,2048,10,3,16490336266968443936,132297946315314195,2.243263,0.027951,0.031470,2.302685,64,131072,4370,2054,0.997079
delta,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.782086,0.024809,0.027502,1.834397,64,131072,35754,2053,0.997565
delta,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.784800,0.024045,0.026976,1.835821,64,131072,124747,2054,0.997079
delta,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.925924,0.082315,0.071271,11.079510,64,262144,186367,4102,0.998537
delta,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.838714,0.093054,0.074096,11.005864,64,262144,41675,4101,0.998781
delta,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.865459,0.092502,0.074425,11.032386,64,262144,179685,4102,0.998537
delta,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014579,0.000490,0.001097,0.016167,128,8192,811,135,0.948148
delta,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.015058,0.000543,0.001140,0.016741,128,8192,5495,135,0.948148
delta,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.014576,0.000435,0.001021,0.016032,128,8192,6028,135,0.948148
delta,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.035490,0.001088,0.002276,0.038855,128,16384,15894,263,0.973384
delta,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.035682,0.001022,0.002063,0.038768,128,16384,7990,263,0.973384
delta,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035411,0.000949,0.002159,0.038519,128,16384,10484,263,0.973384
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.107745,0.002797,0.005132,0.115674,128,32768,19740,519,0.986513
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.099938,0.002776,0.004885,0.107599,128,32768,23135,519,0.986513
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.105605,0.002745,0.005198,0.113548,128,32768,7977,519,0.986513
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.371559,0.008317,0.011697,0.391572,128,65536,25660,1031,0.993210
delta,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.372645,0.008306,0.011984,0.392936,128,65536,13139,1031,0.993210
delta,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.385337,0.008219,0.011973,0.405529,128,65536,27042,1031,0.993210
delta,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.785827,0.023992,0.027140,1.836959,128,131072,4370,2055,0.996594
delta,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.784734,0.024480,0.027312,1.836526,128,131072,35754,2055,0.996594
delta,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.784322,0.023952,0.027352,1.835625,128,131072,124747,2055,0.996594
delta,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.870461,0.091178,0.074306,11.035945,128,262144,186367,4103,0.998294
delta,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.873591,0.103890,0.078307,11.055788,128,262144,41675,4103,0.998294
delta,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.838923,0.085696,0.072506,10.997125,128,262144,179685,4103,0.998294
margin,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014901,0.000509,0.001167,0.016578,16,128,43,131,0.977099
margin,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.015124,0.000608,0.001140,0.016873,16,128,119,132,0.969697
margin,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.014685,0.000536,0.001054,0.016274,16,128,12,132,0.969697
margin,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.037595,0.000998,0.002271,0.040864,16,256,22,259,0.988417
margin,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.035847,0.001014,0.002226,0.039086,16,256,54,260,0.984615
margin,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035978,0.001002,0.002194,0.039175,16,256,244,260,0.984615
margin,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.113310,0.002688,0.005171,0.121169,16,512,284,515,0.994175
margin,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.110789,0.002938,0.005131,0.118859,16,512,95,516,0.992248
margin,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.099141,0.002611,0.005458,0.107210,16,512,297,516,0.992248
margin,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.376589,0.008517,0.011607,0.396713,16,1024,60,1027,0.997079
margin,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.364478,0.008652,0.011829,0.384959,16,1024,851,1028,0.996109
margin,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.372455,0.008361,0.011867,0.392683,16,1024,418,1028,0.996109
margin,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.782711,0.025412,0.027456,1.835579,16,2048,274,2051,0.998537
margin,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.797715,0.024486,0.027056,1.849257,16,2048,938,2052,0.998051
margin,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.804850,0.024416,0.027208,1.856475,16,2048,1867,2052,0.998051
margin,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.825799,0.090104,0.071022,10.986924,16,4096,2047,4099,0.999268
margin,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.818056,0.082306,0.068801,10.969163,16,4096,715,4100,0.999024
margin,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.860060,0.108693,0.083281,11.052034,16,4096,3557,4100,0.999024
margin,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014714,0.000501,0.001170,0.016385,16,512,299,131,0.977099
margin,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.014494,0.000492,0.001112,0.016099,16,512,375,132,0.969697
